Feature,Eta_Squared,F_Statistic,P_Value,Rank
latent_136,0.0005752643460234993,1.906084384243582,0.14874289091129875,195
latent_227,0.0005724366239563933,1.8967096262866936,0.15014306847156503,196
latent_219,0.0005722311955857544,1.8960285708781897,0.15024530048498352,197
latent_237,0.000567525039060947,1.880426355891398,0.1526064855968855,198
latent_43,0.0005574187904325133,1.846921833451756,0.15780313824020847,199
latent_149,0.0005280243302432696,1.7494763356710032,0.17394530446816203,200
latent_160,0.0005208506607160206,1.7256957927549574,0.17812917318751204,201
latent_91,0.0005146996396034352,1.705305576712525,0.18179662871771907,202
latent_52,0.0004894200213929835,1.6215079993225885,0.1976789289663241,203
latent_111,0.00048313857880110143,1.600686757224833,0.201835954455204,204
latent_122,0.0004733219736868585,1.5681479547490027,0.20850822778144446,205
latent_152,0.0004703970843888306,1.5584530367182456,0.2105385655557176,206
latent_17,0.0004523041461276457,1.4984829499528738,0.22354467118551372,207
latent_0,0.000444603888534358,1.4729606609190287,0.22932084861825944,208
latent_214,0.0004427367793236165,1.4667722387471493,0.23074374947976717,209
latent_171,0.00044218017717663623,1.4649274185859356,0.23116963440102326,210
latent_189,0.0004331792669260895,1.435094795737329,0.23816682054339683,211
latent_92,0.000409012141274031,1.3549979164281682,0.25801933026946,212
latent_193,0.00038540667190087676,1.276766268237999,0.2790065001215332,213
latent_207,0.00038307362423365137,1.2690344402720581,0.28117125625657413,214
latent_101,0.00038210338575446907,1.2658190356651977,0.2820764436547921,215
latent_159,0.00037292429317524706,1.2353995073379005,0.2907855795471774,216
latent_36,0.0003724251291593562,1.2337452929612887,0.29126681974804053,217
latent_139,0.0003573410403213832,1.18375786028955,0.30619095599547724,218
latent_196,0.0003487624563441904,1.1553298098461533,0.3150171117579614,219
latent_9,0.0003410510489651356,1.1297758598901533,0.3231679304456768,220
latent_133,0.0003397270939027598,1.1253885964563703,0.32458838329123396,221
latent_154,0.0003299583827489784,1.0930178348703532,0.33526383504181995,222
latent_108,0.00032643337425486467,1.0813371033643397,0.3392016224538363,223
latent_164,0.000278212167617488,0.9215559811524082,0.3979504514797868,224
latent_30,0.0002567262460222499,0.8503672753010105,0.4273046260492358,225
latent_72,0.00025513438422217606,0.8450931256659637,0.42956366830952786,226
latent_130,0.0002463239878692173,0.8159028622756417,0.44228431114919065,227
latent_112,0.00024370035138295866,0.8072104310703585,0.44614464457726066,228
latent_168,0.00023791263444995295,0.7880351725049535,0.4547800318982227,229
latent_23,0.00022118716699866823,0.7326233503994489,0.48068537881853723,230
latent_226,0.0002100773922296147,0.6958174598858112,0.49870309166176485,231
