Dimension,Cluster_0_Mean,Cluster_1_Mean,Difference,t_statistic,p_value,Cohens_d
latent_184,0.07220798964935968,0.02456520240705872,0.047642787242300956,6.9481574164410045,4.968202236571399e-12,0.3026729238052747
latent_115,0.36929306649200944,0.20311792777925267,0.16617513871275677,6.728293516549886,2.2260775659549657e-11,0.30135664561828757
latent_181,0.015600144793724796,0.1149714266319929,-0.09937128183826811,-6.650596000573599,3.742180991927601e-11,0.2955644280020942
latent_249,0.008336958152354221,0.044935454749128106,-0.03659849659677389,-6.6423931703131105,3.95185002674094e-11,0.29279026623548615
latent_150,-0.08905226316942914,-0.18522605150480428,0.09617378833537514,6.3390018567263064,2.842060605317683e-10,0.2916307116203012
latent_23,-0.20932661702808106,-0.34779743900444837,0.13847082197636731,6.3719177223857155,2.3038240281378917e-10,0.28944962054033313
latent_81,0.019507939011780655,0.06307840324399287,-0.04357046423221222,-6.553809471387799,7.092035063058446e-11,0.2864277942886905
latent_47,0.04368687932936648,0.11574137929973309,-0.07205449997036661,-6.219213208686792,6.050860903818489e-10,0.28349563265542543
latent_77,-0.04487391066419346,-0.08212464143371885,0.03725073076952539,6.4312394759079705,1.5740643833129974e-10,0.28101565299766823
latent_34,0.2363832479224523,0.055816867780658364,0.18056638014179394,6.22528447877836,5.825347779975176e-10,0.2807543203004442
latent_169,0.005151509496566757,-0.027855312270982212,0.03300682176754897,6.225496038996697,5.817639350050889e-10,0.2792396360944219
latent_72,0.20039384866014986,0.4469571993537366,-0.24656335069358676,-5.91812200363308,3.813621297959875e-09,0.27057318836432603
latent_52,0.08243972507434605,0.12824361598571174,-0.04580389091136569,-6.249880000932041,4.992823840895538e-10,0.2696843935738352
latent_151,0.020225496504722752,-0.00892632439466192,0.029151820899384673,5.881946925712751,4.730966679813181e-09,0.2612373977152173
latent_157,0.006985886830817439,0.03622408872960854,-0.029238201898791102,-5.752902364221283,1.010653761920595e-08,0.2574089813491664
latent_74,0.024612920803063692,0.07171858877743773,-0.04710566797437403,-5.658269649966229,1.7461901572270133e-08,0.2562630362735898
latent_207,-0.054840589985538146,-0.18504912354181496,0.13020853355627682,5.554824923092294,3.144642405972514e-08,0.25461820132841845
latent_183,0.008581722046396458,-0.022998534319199293,0.03158025636559575,5.759379573223969,9.73230110099948e-09,0.25303912100070647
latent_132,-0.13576852983881743,-0.1702956061622242,0.034527076323406763,5.571398782340165,2.8637055652131905e-08,0.25178379441828147
latent_237,-0.020279442148751364,0.012808281254021354,-0.03308772340277272,-5.687411386877122,1.476868243666648e-08,0.25122884911333243
latent_172,0.019712364354410764,-0.04194249981637011,0.06165486417078088,5.647366190800331,1.858759455075545e-08,0.25055333633853166
latent_40,0.2920843747854223,0.3231314927793594,-0.031047117993937057,-5.43538452685773,6.126230136715302e-08,0.2465107111210246
latent_87,-0.05360439141650137,-0.0797711229836121,0.026166731567110725,5.536791042829667,3.480717372466933e-08,0.24299734431921016
latent_174,0.00932361840380109,0.04947346862076511,-0.040149850216964024,-5.675383957595628,1.582736413457991e-08,0.2419398621067961
latent_79,-0.039906328689782014,-0.0892900738941281,0.04938374520434609,5.377649970952097,8.416422694386611e-08,0.23791501108350135
latent_159,-0.026311123613445505,-0.054050288058718865,0.02773916444527336,5.300245279168042,1.2821714451248496e-07,0.23788962856776513
latent_133,0.7898043679758856,0.5378927013381495,0.2519116666377361,4.816554627644223,1.568744745148095e-06,0.23539961153782393
latent_116,0.6095022995737057,0.3695389520959074,0.2399633474777983,5.108567530764699,3.550187905276135e-07,0.23290689650406038
latent_255,0.12466085200737739,0.14607417348837543,-0.021413321480998032,-5.223633917663447,1.934238531401181e-07,0.23126562638263196
latent_8,0.759312744543801,0.9576452880149464,-0.19833254347114537,-4.965532427605877,7.424071048847805e-07,0.23118022204956554
latent_129,0.03580809651357629,-0.003599584107829181,0.03940768062140547,5.297715387041763,1.2998119826270841e-07,0.22883733016416632
latent_199,0.013166610271716624,0.044388194081957294,-0.03122158381024067,-5.4079199097912385,7.128151970792338e-08,0.22556733814906443
latent_203,0.031879244206821526,0.05469618187165125,-0.02281693766482972,-5.084894259546025,4.016511822651732e-07,0.22299858084824387
latent_185,-0.13962484457833788,0.014551485457544493,-0.15417633003588238,-4.70006440193979,2.775602316304816e-06,0.22087529165692849
latent_94,1.0375310740776567,0.9211653228932385,0.11636575118441816,5.148174327835147,2.884515926971986e-07,0.21776004913617497
latent_25,-0.07117841930571867,-0.10712778623706405,0.035949366931345386,4.81111384000475,1.6115671914591175e-06,0.21755357093045047
latent_166,0.03174417804345708,0.06627693385615659,-0.0345327558126995,-4.947111414381959,8.152732419742699e-07,0.2151490067057543
latent_105,0.0064329481214997946,0.0316077281122242,-0.025174779990724403,-4.887395990074529,1.101973506624589e-06,0.2107121212665673
