Feature,Eta_Squared,F_Statistic,P_Value,Rank
latent_234,0.03877321467398948,6.335632420739429,2.2690275121997515e-13,131
latent_62,0.03831153652032174,6.2571878156385425,3.702586999150038e-13,132
latent_197,0.03821414225608196,6.240648992040705,4.1049144601824594e-13,133
latent_246,0.03788042164513781,6.184004248103111,5.84298407001639e-13,134
latent_177,0.03784757365403436,6.178430851997663,6.049402349356632e-13,135
latent_118,0.03782387558569232,6.174410181166894,6.202812476731548e-13,136
latent_178,0.03764483427350532,6.14404000428985,7.494026567815389e-13,137
latent_228,0.037587505930433036,6.134317978191098,7.961507965616705e-13,138
latent_229,0.03724505483477664,6.076267530063578,1.1423825868881975e-12,139
latent_105,0.03700848120996858,6.036188968049614,1.465461742001179e-12,140
latent_237,0.03695357485295099,6.0268899525626995,1.5525944336892957e-12,141
latent_25,0.03684494073973254,6.008494655019864,1.7404612850251026e-12,142
latent_93,0.0360353146569646,5.871529156111954,4.068400959837598e-12,143
latent_33,0.036005183314563996,5.8664362380967345,4.198701719740488e-12,144
latent_154,0.035994468321227935,5.864625224513845,4.2460313897884455e-12,145
latent_82,0.03569438881695509,5.813923101935445,5.8102803729599205e-12,146
latent_255,0.03534576056702503,5.755057684009122,8.358905500308179e-12,147
latent_26,0.03512598285341572,5.717970369325783,1.0508879427029599e-11,148
latent_138,0.034966957506091724,5.691145501882103,1.2399471568736264e-11,149
latent_211,0.03455902803697836,5.622375157718058,1.894030252413198e-11,150
latent_207,0.034461726474609246,5.6059802634048115,2.0950952665769444e-11,151
latent_81,0.03421256227084971,5.564012228863907,2.7119820982568835e-11,152
latent_208,0.034085566612945095,5.542630013889246,3.092764200621582e-11,153
latent_0,0.03383364121357401,5.5002300569510325,4.012388086967319e-11,154
latent_56,0.03383348113878796,5.500203122814204,4.013051296600281e-11,155
latent_214,0.03352674261189669,5.4486077767667425,5.506594030315714e-11,156
latent_205,0.03351486000997816,5.44660970744112,5.574431394487811e-11,157
latent_157,0.033481094503560196,5.440932277806562,5.771763658315552e-11,158
latent_187,0.03324318716902961,5.4009410936817455,7.373314349989973e-11,159
latent_69,0.033219755246845104,5.397003354611053,7.553161494645611e-11,160
latent_218,0.03294128312133621,5.350220669424348,1.0055081427091496e-10,161
latent_173,0.03281117835104706,5.328372596592078,1.1491063810883961e-10,162
latent_198,0.03276693004497504,5.320943461231518,1.2024462607351887e-10,163
latent_196,0.0327644875520361,5.320533395031498,1.2054612061242327e-10,164
latent_158,0.032107407783443925,5.210292501881859,2.3608536699605045e-10,165
latent_97,0.03199140967542875,5.190846579163655,2.6574450781772356e-10,166
latent_117,0.03160127759864589,5.125479020169736,3.953751995726162e-10,167
latent_75,0.031468815131620406,5.10329659374351,4.523598631653664e-10,168
latent_20,0.031375835167983326,5.087729609319187,4.971595304653677e-10,169
latent_100,0.030812639958257813,4.993501616896089,8.796485690571329e-10,170
latent_83,0.030801024733634053,4.991559430301573,8.900390607643908e-10,171
latent_9,0.03072121440262533,4.978215570042088,9.648038667640642e-10,172
latent_135,0.030631003688340052,4.963135466770319,1.0568376661063136e-09,173
latent_48,0.03017348483058503,4.8866973731166174,1.675974532089326e-09,174
latent_38,0.029750498176648904,4.816092738514729,2.5631384799841894e-09,175
latent_131,0.029698353328286173,4.807393019236012,2.7006862988346727e-09,176
latent_102,0.029643650115530377,4.7982674736282656,2.852855235455462e-09,177
latent_92,0.029155415514598295,4.7168661218694155,4.648106454537808e-09,178
latent_130,0.028791714130378808,4.656280873910544,6.677863603772251e-09,179
latent_143,0.02858868473144426,4.622480039684116,8.170884128476826e-09,180
latent_247,0.028429232943415938,4.595944017377459,9.571574047618073e-09,181
latent_202,0.028395754066656592,4.590373557344645,9.894608087555285e-09,182
latent_17,0.027473297632679278,4.4370393851420875,2.459728157972696e-08,183
latent_148,0.02725287619190669,4.400443152979828,3.0541639972914594e-08,184
latent_64,0.027232428790578547,4.397049143050334,3.1160384747875405e-08,185
latent_12,0.026933646772588058,4.347471378202269,4.175296937502222e-08,186
latent_122,0.026353713260039276,4.251328179870131,7.350187907031783e-08,187
latent_243,0.02601956295914532,4.195983683751346,1.0166361906404216e-07,188
latent_88,0.025901915296506137,4.176507027157248,1.1393216369533307e-07,189
latent_147,0.02566404226861025,4.137141342611033,1.43385488931461e-07,190
latent_200,0.025390637077800173,4.091919164818761,1.8662395212505192e-07,191
latent_176,0.025253808244878283,4.069296720739278,2.1287459904099508e-07,192
latent_169,0.02515310755273013,4.052651539666441,2.3449513683543053e-07,193
latent_141,0.02496393030089955,4.021391045021866,2.811428758175104e-07,194
latent_47,0.024890365753564226,4.009238185865834,3.016629014735542e-07,195
latent_245,0.02482133407152577,3.997835823369277,3.2226146216369524e-07,196
latent_67,0.024738719198398346,3.984191968434727,3.487464244397616e-07,197
latent_112,0.024707900428907043,3.979102837403278,3.5916771963676447e-07,198
latent_16,0.02456071707731877,3.9548027538104797,4.1333768693669963e-07,199
latent_1,0.024525005526081802,3.9489078549273344,4.2765328138688043e-07,200
latent_254,0.024256481034272855,3.904596389381995,5.521784447604072e-07,201
latent_6,0.02409328861052065,3.877678559771849,6.447005483540732e-07,202
latent_119,0.023865222461456715,3.8400751899565027,8.001283257364053e-07,203
latent_54,0.023351829731909093,3.7554916583232876,1.2982115682506774e-06,204
latent_164,0.0232881244700466,3.7450021598682635,1.3782610002839303e-06,205
latent_153,0.023236049170068246,3.7364286289890254,1.4472968660587923e-06,206
latent_127,0.023216214072443724,3.7331632747320582,1.4744795107482996e-06,207
latent_233,0.023208568737755404,3.731904696412901,1.4850908144386685e-06,208
latent_240,0.022984574982919285,3.6950394895291114,1.8317117116304424e-06,209
latent_96,0.022456735642208736,3.608233763293836,2.9954860242801206e-06,210
latent_13,0.022155997356735943,3.5588178094778873,3.9580296536365376e-06,211
latent_242,0.02189496034481134,3.515950024519564,5.036123038727587e-06,212
latent_168,0.021536496249913745,3.4571199280183884,7.000189880939855e-06,213
latent_45,0.021100644252180212,3.3856471942176887,1.0422123311717174e-05,214
latent_128,0.021039109243547613,3.3755615670881634,1.1022116907711179e-05,215
latent_30,0.020935832965093115,3.358637368657831,1.2106261839821286e-05,216
latent_55,0.0206096001123321,3.3052000421366667,1.6265704493720892e-05,217
latent_224,0.020308879113709072,3.255973110423655,2.132532883828989e-05,218
latent_150,0.02015247167556231,3.2303817274384468,2.4537827708487456e-05,219
latent_2,0.019949153040470385,3.197126945617822,2.943121260077396e-05,220
latent_203,0.019910679799379032,3.190835817408606,3.0459311783029852e-05,221
latent_226,0.019877664019859787,3.1854374847984,3.136957619221009e-05,222
latent_140,0.019792094539288665,3.1714479125492123,3.385468496309482e-05,223
latent_223,0.019791507818803414,3.171351999296983,3.387237328561097e-05,224
latent_70,0.01969451011261381,3.15549702305203,3.692461598391228e-05,225
latent_95,0.01959964709607873,3.139994011737962,4.016965600447581e-05,226
latent_199,0.019214042840164293,3.0770074143744366,5.6485989224089306e-05,227
latent_174,0.0188522835574546,3.017960790002612,7.759682482661374e-05,228
latent_152,0.018837032392074782,3.015472439740012,7.863869529920129e-05,229
latent_185,0.018546133362662635,2.968024729281822,0.00010133989055752479,230
latent_76,0.01784048169464691,2.853044682945984,0.00018629737647301323,231
latent_66,0.017458748927798088,2.790913353782407,0.00025796051130792493,232
latent_217,0.01728545317670112,2.762723438931008,0.00029875198865592106,233
latent_78,0.017237441426683313,2.754915155377353,0.00031112059025997356,234
latent_227,0.017173828729292916,2.7445708216405396,0.0003282769245800443,235
latent_53,0.017077593492684326,2.7289241417494567,0.0003559909572995056,236
latent_50,0.01706419109395312,2.726745317655238,0.0003600264854351693,237
latent_125,0.016898136696772578,2.699754830004938,0.00041386198072030397,238
latent_210,0.01676737832575016,2.678507775586212,0.00046167544151112436,239
latent_37,0.015981670958839067,2.550956329964172,0.00088361549673473,240
latent_146,0.0159739609950107,2.549705706453319,0.0008892014390955785,241
latent_142,0.015877642754987986,2.534083697713651,0.0009619234343361746,242
latent_166,0.015624522578465994,2.4930443067171444,0.0011814414082876744,243
latent_89,0.015356930720355643,2.4496815076775333,0.001465773510837771,244
latent_184,0.015300676578803026,2.440568619086344,0.001533412735990896,245
latent_124,0.015144424209817459,2.4152619812437948,0.001737401405889924,246
latent_216,0.015107200792499484,2.409234459883588,0.0017897103756079184,247
latent_72,0.01484030412514456,2.3660297015968594,0.0022115903779122226,248
latent_15,0.014497131602790033,2.3105119326354555,0.0028954315845223146,249
latent_91,0.01448796379938827,2.3090293138683022,0.0029162213518634907,250
latent_159,0.014415628660468763,2.297332229940846,0.003085331616678127,251
latent_252,0.013251107508565231,2.109257281005818,0.00749085602250806,252
latent_253,0.011997865621829423,1.9073488758416361,0.018552090324400014,253
latent_51,0.010194742059619169,1.6177466627756591,0.061634834435858994,254
latent_111,0.010158923058116736,1.6120044104365032,0.06303229284762564,255
latent_4,0.009501582240991634,1.506697864321938,0.09406237460538742,256
